trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
78,False,"{'a': 0.5, 'e': 0.8050000000000042}",30,8,-50.74957034595509,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 1}",1
79,False,"{'a': 0.5, 'e': 0.8025000000000042}",20,0,-105.47380305465863,"{0: 9, 1: 5, 2: 5, 3: 0, 4: 1}",0
80,False,"{'a': 0.5, 'e': 0.8000000000000043}",30,0,-192.89752853882774,"{0: 18, 1: 3, 2: 4, 3: 2, 4: 3}",0
81,False,"{'a': 0.5, 'e': 0.7975000000000043}",30,0,-65.91211201948414,"{0: 20, 1: 3, 2: 6, 3: 1, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.7950000000000044}",30,0,-53.26118328773378,"{0: 22, 1: 4, 2: 2, 3: 2, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.7925000000000044}",20,0,-45.7701760641373,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
84,False,"{'a': 0.5, 'e': 0.7900000000000045}",25,8,-45.45464524607541,"{0: 11, 1: 3, 2: 1, 3: 2, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.7875000000000045}",25,0,-37.88539777428863,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.7850000000000046}",25,0,-61.377025080509156,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
87,False,"{'a': 0.5, 'e': 0.7825000000000046}",25,0,-78.7241030014958,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
88,False,"{'a': 0.5, 'e': 0.7800000000000047}",25,0,-35.014236404885565,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.7775000000000047}",25,0,-65.55409060431853,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.7750000000000048}",25,0,-49.91815770469376,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.7725000000000048}",30,0,-252.90116447417253,"{0: 16, 1: 3, 2: 4, 3: 3, 4: 4}",0
92,False,"{'a': 0.5, 'e': 0.7700000000000049}",25,0,-67.90909836462097,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
93,False,"{'a': 0.5, 'e': 0.767500000000005}",30,0,-166.7379707420878,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
94,False,"{'a': 0.5, 'e': 0.765000000000005}",25,0,-60.847857805014314,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
95,False,"{'a': 0.5, 'e': 0.7625000000000051}",25,0,-39.376557501969664,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
96,False,"{'a': 0.5, 'e': 0.7600000000000051}",20,0,3.6049321733198476,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.7575000000000052}",25,10,-112.2245043377968,"{0: 7, 1: 3, 2: 3, 3: 0, 4: 2}",1
98,False,"{'a': 0.5, 'e': 0.7550000000000052}",25,0,-42.93462228838084,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
99,False,"{'a': 0.5, 'e': 0.7525000000000053}",20,0,-68.62395428169064,"{0: 15, 1: 2, 2: 0, 3: 2, 4: 1}",0
100,False,"{'a': 0.5, 'e': 0.7500000000000053}",20,0,-111.22150380208693,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
101,False,"{'a': 0.5, 'e': 0.7475000000000054}",30,15,-45.889492074289834,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
102,False,"{'a': 0.5, 'e': 0.7450000000000054}",25,0,-46.2748899950646,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
103,False,"{'a': 0.5, 'e': 0.7425000000000055}",20,0,-20.617675000797995,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
104,False,"{'a': 0.5, 'e': 0.7400000000000055}",20,14,-17.858270692632097,"{0: 4, 1: 1, 2: 0, 3: 1, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.7375000000000056}",25,0,-136.82111305176915,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
106,False,"{'a': 0.5, 'e': 0.7350000000000056}",20,0,-30.06668746918724,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
107,False,"{'a': 0.5, 'e': 0.7325000000000057}",25,0,-60.727944954688226,"{0: 18, 1: 2, 2: 2, 3: 3, 4: 0}",0
